_nid|_title|_photograph
376|Lepilemur leucopus|RAM_jan-05-madagascar0260(clc)
379|Hapalemur griseus  profile|Hapalemur-griseus-griseus
381|Hapalemur griseus |RAM_032
382|Hapalemur griseus|Hapalemur2DSC_0116RAM
383|Hapalemur griseus|2009_09_MAD_262(clc)
384|Hapalemur griseus gilberti profile|Hapalemur-gilberti
386|Hapalemur griseus gilberti|LFG3HapalemurgilbertiPlate1_2
387|Hapalemur griseus ranomafanensis profile|Hapalemur-ranomafanensis
389|Hapalemur griseus ranomafanensis|MD1.8.9-Hapalemur-ranomafanensis(clc)(rotate)
390|Hapalemur griseus ranomafanensis|MD1.1-Hapalemur-ranomafanensis(clc)
391|Hapalemur meridionalis profile|Hapalemur-meridionalis,-Mandena-forest-1thumb
393|Hapalemur meridionalis|NEW-fig.9.14-pg.333_Hapalemur_meridionalis
394|Hapalemur meridionalis|NEW-fig.9.15-pg.334_Hapalemur_meridionalis
395|Hapalemur meridionalis|HapalemurMidongy-du-Sud2004-078LOUIS
396|Hapalemur occidentalis Rumpler profile|Hapalemur-occidentalis
398|Hapalemur occidentalis Rumpler|2006_04_Madagascar_139(CLC)
399|Hapalemur occidentalis Rumpler|214(clc)
400|Hapalemur alaotrensis profile|Hapalemur-alaotrensis
402|Hapalemur alaotrensis|Mad1994_001(no-leash)
403|Hapalemur alaotrensis|NEW-fig.9.21-pg.343_Hapalemur_alaotrensis
404|Hapalemur aureus profile|Hapalemur-aureus
406|Hapalemur aureus|NEW-fig.9.22-pg.345_Hapalemur_-aureus
407|Hapalemur aureus|img068
408|Hapalemur aureus|2006_02_MAD_101(clc)
410|Prolemur simus profile|IRR_20071119_047(thumb)
412|Prolemur simus |NEW-fig.9.29-pg.353_Prolemur_simus
413|Prolemur simus |Greater-Bamboo-Lemur_Prolemus-simus(clc)
414|Prolemur simus |2006_02_Madagascar_068(clc)
415|Prolemur simus |NEW-fig.9.32-pg.357_Prolemur_simus
418|Lemur catta Linnaeus profile|Lemur-catta
420|Lemur catta Linnaeus|NEW-fig.9.43-pg.369_Lemur_catta
421|Lemur catta Linnaeus|2009_09_MAD_445(clc)
422|Lemur catta Linnaeus|2006_04_Madagascar139(clc)
423|Lemur catta Linnaeus|NEW-fig.9.46-pg.374_Lemur_catta
424|Lemur catta Linnaeus|2007_07_Madagascar_046(clc)
430|Eulemur fulvus profile|Eulemur-fulvus
432|Eulemur fulvus|2009_01_Madagascar_275(clc)
433|Eulemur fulvus|2007_07_Madagascar_027(clc)
434|Eulemur fulvus|2005_08_MAD_120(clc)
435|Eulemur fulvus|2005_08_MAD_148(clc)(rotate)
436|Eulemur rufus profile|Eulemur-rufus
438|Eulemur rufus|Eulemur-rufus-2008_0_Mad-Baly_029(clc)
439|Eulemur rufifrons profile|DSC_4142thumb
441|Eulemur rufifrons|DSC_4171(clc)
442|Eulemur rufifrons|img042(clc)test
443|Eulemur rufifrons|DSC_4142
